Day,mTEC,TEC,SP4,DP,DNorig,cTEC,DN,DN1,DN2,DN3,DN4
0,387965,449729,25828842,196606023,9588280,61764,7996626,1032244,540735,3754981,2668666
0,87652,101436,16920933,150558787,7364933,13784,6142354,792886,415349,2884269,2049851
0,86451,101983,17181902,129618612,8408795,15532,7012935,905265,474218,3293068,2340385
0,132420,159945,20954602,209655575,9685962,27525,8078092,1042760,546244,3793235,2695853
1,73363,92707,17305461,2940632,4079864,19344,3402607,1203349,420975,757781,1020502
1,97862,119242,21016153,2002001,3713173,21380,3096786,1095194,383138,689673,928781
1,81350,98068,18835369,1618457,2844922,16718,2372665,839105,293549,528407,711604
1,169060,185394,15274845,2630555,5938985,16334,4953113,1751693,612805,1103088,1485526
1,271505,294601,22702110,8759500,9851351,23096,8216027,2905639,1016497,1829759,2464132
1,173264,190632,18881282,4092326,12116484,17368,10105148,3573736,1250221,2250478,3030713
4,66537,72151,1752011,60071,368219,5614,307095,115479,47531,127846,16239
4,72326,80731,1990792,93148,435989,8405,363615,136733,56279,151375,19228
4,83108,91105,2309573,108846,612427,7997,510764,192066,79054,212634,27010
7,80257,93474,903313,2832806,2111007,13217,1760580,93455,46264,1202661,418200
7,37300,44986,741966,2454205,1314890,7686,1096618,58211,28817,749105,260485
7,42114,54233,740533,2508419,2057536,12119,1715985,91088,45092,1172198,407607
7,37703,44840,NaN,NaN,NaN,7137,NaN,NaN,NaN,NaN,NaN
7,20648,24335,NaN,NaN,NaN,3687,NaN,NaN,NaN,NaN,NaN
7,116216,138719,NaN,NaN,NaN,22503,NaN,NaN,NaN,NaN,NaN
9,62361,89780,854943,12336676,2385534,27419,1989535,111988,16943,894093,966511
9,72963,90805,1604016,25275532,2437871,17842,2033184,114445,17315,913708,987716
9,26872,34500,470134,4126314,1155137,7628,963384,54228,8204,432943,468009
11,35978,46860,4133617,104025915,2864979,10882,2389392,208030,21687,727675,1431999
11,35090,51421,2218426,43642040,2111579,16331,1761057,153325,15984,536319,1055428
11,41289,56600,4825256,91264827,3123793,15311,2605243,226823,23647,793411,1561362
12,120442,175826,9909128,211012029,6076982,55384,5068203,663961,65560,1407617,2931066
12,118503,185187,8163724,165638391,6820742,66684,5688499,745223,73584,1579895,3289798
13,91213,140182,17567158,223694261,3548828,48969,2959723,517792,49707,742671,1649553
13,98299,168829,14412065,216815114,4829031,70530,4027412,704580,67639,1010582,2244612
13,110517,193667,14129691,131761277,3765439,83150,3140376,549397,52741,788001,1750237
14,68396,105257,14839828,140426889,1550128,36861,1292807,338016,21553,296328,636910
14,92312,154569,21977299,229768840,2429439,62257,2026152,529755,33780,464420,998197
14,54802,112121,19047708,183708317,1528338,57319,1274634,333264,21250,292163,627957
14,62568,125797,NaN,NaN,NaN,63229,NaN,NaN,NaN,NaN,NaN
14,55358,95026,NaN,NaN,NaN,39668,NaN,NaN,NaN,NaN,NaN
14,75103,123688,NaN,NaN,NaN,48585,NaN,NaN,NaN,NaN,NaN
15,73366,120928,23093360,132288224,1765053,47562,1472054,512232,24361,305451,630009
15,69338,120143,23952787,99476963,1752202,50805,1461336,508503,24184,303227,625422
15,37991,87270,18702508,118910325,2140396,49279,1785090,621160,29541,370406,763982
17,40728,81352,32485692,43013053,1705109,40624,1422061,490359,23148,340677,567877
17,68169,96383,23652842,67624903,1665823,28214,1389296,479061,22615,332827,554793
17,69536,105582,16317167,67106729,1758367,36046,1466478,505675,23871,351318,585614
19,43031,97095,17565471,39168138,831455,54064,693433,277619,40679,184174,190961
19,125298,260216,18472116,45246998,1873614,134918,1562594,625592,91667,415021,430315
19,54524,108907,22949956,31465933,1235722,54383,1030592,412602,60458,273722,283809
19,30026,49474,19455372,74437926,1598857,19448,1333447,533852,78224,354160,367211
19,24764,56862,24814481,54195739,1976974,32098,1648796,660103,96724,437916,454053
19,36734,57002,22049258,45110137,1980863,20268,1652040,661402,96914,438777,454947
49,29811,50182,13524176,88271115,3028320,20371,2525619,425146,56284,1059996,984193
49,37932,79121,16191071,74931270,4784927,41189,3990629,671756,88932,1674857,1555083
49,44607,82351,10210697,69200515,4710957,37744,3928938,661371,87558,1648966,1531043
